source_id,content_id,relative_path,sha256,system,evidence_type,source_quality,review_status,duplicate_status
SRC-1186905DAB707EB2,CONTENT-06BC53594BCF7BC6,00-governance/decision-hub-five-engine-research-briefing.zip,E6AC1FC5FBAF52AC15622AC5DE0A529006179962CA3F303DDE27645504645650,governance,archive_bundle,unknown,machine_classified_needs_human_review,currentness_unresolved
SRC-629D5FF12BE08F45,CONTENT-0BE2C56882809DE6,00-governance/decision-hub-research-briefing/00-START-HERE.md,4F480A6F2960BB659996174645CB0E36EFA35CB92F5422EEDA9E3CFF15082A02,governance,documentation_or_other,not_evidence_by_itself,machine_classified_needs_human_review,currentness_unresolved
SRC-585E88F8B8308805,CONTENT-EEC7724A4273A800,00-governance/decision-hub-research-briefing/01-OWNER-INTENT.md,CEF978D7A2940106DE5FD4518233CDFDB15CF635657AB3628F379B4EA7FCF780,governance,documentation_or_other,not_evidence_by_itself,machine_classified_needs_human_review,currentness_unresolved
SRC-DDFA02FEF47EB15C,CONTENT-E610C426569CDBA1,00-governance/decision-hub-research-briefing/02-RESEARCH-MISSION.md,A8C919E211E6DCEDE4F20690C6A1A76EFCEAECA59F71FE5D691112F49E8B3B1C,governance,research_synthesis_or_evidence_pack,secondary_or_unknown,machine_classified_needs_human_review,currentness_unresolved
SRC-C1A0C58D022A65D5,CONTENT-D72AA256A15E3BE7,00-governance/decision-hub-research-briefing/03-FIVE-ENGINE-QUESTIONS.md,D12AD2EC86BB1CE757F8819CECFBE4AF964E73B1A852D2C8431A2EE153574EC4,governance,documentation_or_other,not_evidence_by_itself,machine_classified_needs_human_review,currentness_unresolved
SRC-3C74A9A1E51A148D,CONTENT-204B09038316D0CC,00-governance/decision-hub-research-briefing/04-EVIDENCE-TO-RULE-PIPELINE.md,E6B14316CD6ED67DD5BD48C960A4B47F7EC7847B6CA8356B450E3AF661A0AC4A,governance,research_synthesis_or_evidence_pack,secondary_or_unknown,machine_classified_needs_human_review,currentness_unresolved
SRC-704152BCBAC1E106,CONTENT-8F2476EA21D0314A,00-governance/decision-hub-research-briefing/05-TWO-DAY-FIRST-SPRINT.md,D23D9A7D88A43B57CBFE9160644F3B7F5D6CC87B501F31A6E9876E4B694D4C08,governance,documentation_or_other,not_evidence_by_itself,machine_classified_needs_human_review,currentness_unresolved
SRC-3EB2AD8B725BC5EB,CONTENT-42002ED8237DA691,00-governance/decision-hub-research-briefing/06-CHATGPT-OPERATING-PROMPT.md,DEA8BADD1357B4C353C7FA506730B69571B44B8C41C05539609F825B25C308C1,governance,ai_handoff_or_working_note,not_evidence_by_itself,machine_classified_needs_human_review,currentness_unresolved
SRC-6E22399ADA60D500,CONTENT-C0DDCE27DCBEC62A,00-governance/decision-hub-research-briefing/templates/candidate-rule.yaml,DD3A63768ABF0EDF109951FF994B94150348486AEDE2AA239AEDF36AB232EDA8,governance,structured_data,not_evidence_by_itself,machine_classified_needs_human_review,currentness_unresolved
SRC-C4E67DFBC93B3D5F,CONTENT-FBB8E54B156EAB67,00-governance/decision-hub-research-briefing/templates/evidence-claim.yaml,10E5360F9FFA5F2305FDCEBA1C7B4DA99B1714E8C98E8A9DCBD8C11147ACC0AF,governance,claim_registry,secondary_or_unknown,machine_classified_needs_human_review,currentness_unresolved
